BBB9,100,8,10,63,-75,69,-1017,-382,-30,-111,3406,1,31
BBB9,100,7,11,-20,-68,-75,-1010,-373,-13,-106,3406,1,31
BBB9,100,7,11,-53,-70,-23,-1004,-371,-27,-109,3406,0,31
BBB9,100,7,11,-9,-98,-42,-995,-364,-17,-108,3406,6,31
BBB9,99,8,10,-61,-88,-88,-1012,-387,-36,-112,3406,1,31
BBB9,99,8,10,-29,-111,-6,-1009,-377,-23,-108,3406,0,31
BBB9,99,8,11,5,-110,85,-998,-388,-30,-106,3406,5,31
BBB9,99,7,10,-20,-126,-35,-1009,-378,-25,-109,3406,1,31
BBB9,99,8,10,28,-15,-68,-1041,-371,21,-108,3406,6,31
BBB9,100,8,10,4,42,-33,-1004,-371,-34,-108,3406,1,31
BBB9,99,7,11,13,-27,-28,-1016,-377,-18,-104,3406,1,31
BBB9,99,8,10,-31,-36,131,-1002,-381,-40,-109,3406,1,31
BBB9,100,8,11,11,14,7,-1001,-384,-29,-113,3406,0,31
BBB9,99,8,10,76,118,33,-998,-382,-31,-97,3406,1,31
BBB9,100,8,10,21,25,-26,-1003,-363,-24,-111,3406,2,31
BBB9,99,8,11,-44,-37,5,-998,-384,-41,-104,3406,1,31
BBB9,93,5,5,19,-9,-20,-999,-389,-30,-107,3412,1,31
BBB9,599,30,39,-2002,91,-1190,-1004,-375,-37,-77,3412,1,31
BBB9,599,121,48,10297,836,1688,-1012,-391,7,57,3412,1,31
BBB9,599,43,78,15141,747,8,-1006,-424,300,316,3412,2,31
BBB9,599,59,94,21607,1489,2008,-1030,-182,689,810,3412,2,31
BBB9,599,35,13,24994,525,7674,-1064,436,231,1517,3412,0,31
BBB9,599,148,151,24994,2130,3108,-976,-423,12,2504,3412,5,31
BBB9,599,16,50,24994,2692,5524,-1044,443,55,3520,3412,2,31
BBB9,599,-14,152,24994,2810,7755,-1055,168,627,4320,3412,1,31
BBB9,583,53,58,24994,4590,9254,-1034,-158,671,6419,3412,2,31
BBB9,-315,10,-77,24994,5456,8445,-1071,386,398,6652,3412,1,31
BBB9,-299,2,-55,24994,5028,8172,-1060,426,317,7003,3412,2,31
BBB9,-259,-7,-81,24994,3440,8353,-1060,309,405,7435,3412,1,31
BBB9,-239,21,-37,24994,4183,7867,-1070,170,641,7924,3412,1,31
BBB9,-208,58,-38,24994,4528,7742,-1027,-79,697,8370,3412,1,31
BBB9,-166,24,-42,24994,4120,7069,-1004,-366,549,8790,3412,1,31
BBB9,-141,42,-27,24994,4551,6544,-967,-491,112,9208,3412,1,31
BBB9,-159,22,-11,24994,3475,6970,-949,-407,-104,9665,3412,1,31
BBB9,-127,20,-9,24994,4272,6195,-974,96,-337,10049,3412,1,31
BBB9,-143,19,-10,24994,3814,6184,-1037,455,221,10457,3412,0,31
BBB9,-151,22,-20,24994,2742,6062,-1026,-89,698,10755,3412,1,31
BBB9,-151,11,-26,24994,3657,5358,-938,-432,-87,11023,3412,1,31
BBB9,-138,8,-25,24994,3277,5400,-1004,406,-137,11285,3412,1,31
BBB9,-128,16,-15,24994,2891,5282,-1031,-13,734,11580,3412,2,31
BBB9,-115,13,-17,24994,2862,5103,-946,-343,-206,11910,3412,1,31
BBB9,-105,14,-16,24994,2782,4820,-1014,452,-32,12269,3412,1,31
BBB9,-100,7,-12,24994,2170,4141,-972,-426,554,12589,3412,2,31
BBB9,-87,9,-21,24994,1490,4361,-979,326,-274,12889,3412,5,31
BBB9,-80,20,-11,24994,3158,3411,-988,-334,653,13164,3406,0,31
